timestamp,event
2026-08-20 19:51:55,Mobile phone detected
2026-08-20 19:51:56,Driver distracted
2026-08-20 19:51:58,Driver distracted
2026-08-20 19:51:59,Driver distracted
2026-08-20 19:52:04,Drowsiness detected
2026-08-20 19:52:08,Yawning detected
2026-08-20 19:52:09,Drowsiness detected
2026-08-20 19:52:11,Driver distracted
2026-08-20 19:52:21,Driver distracted
2026-08-20 19:52:33,Mobile phone detected
2026-08-20 19:52:35,Driver distracted
2026-08-20 19:52:36,Driver distracted
2026-08-20 19:52:37,Drowsiness detected
2026-08-20 19:52:37,Mobile phone detected
2026-08-20 19:52:37,Mobile phone detected
2026-08-20 19:52:37,Driver distracted
2026-08-20 19:52:38,Driver distracted
2026-08-20 19:52:38,Mobile phone detected
2026-08-20 19:52:38,Driver distracted
2026-08-20 19:52:39,Mobile phone detected
2026-08-20 19:52:39,Mobile phone detected
2026-08-20 19:52:39,Mobile phone detected
2026-08-20 19:52:39,Driver distracted
2026-08-20 19:52:39,Driver distracted
2026-08-20 19:52:40,Driver distracted
2026-08-20 19:52:40,Driver distracted
2026-08-20 19:52:40,Driver distracted
2026-08-20 19:52:40,Mobile phone detected
2026-08-20 19:52:41,Driver distracted
2026-08-20 19:52:42,Driver distracted
2026-08-20 19:52:43,Driver distracted
2026-08-20 19:52:43,Driver distracted
2026-08-20 19:52:44,Driver distracted
2026-08-20 19:52:45,Driver distracted
2026-08-20 19:52:46,Driver distracted
2026-08-20 19:52:46,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:47,Driver distracted
2026-08-20 19:52:48,Driver distracted
2026-08-20 19:52:48,Driver distracted
2026-08-20 19:52:48,Driver distracted
